class_nbr	pattern	mtg_start	mtg_end
8508	MW	08.30.00.000000	09.20.00.000000
33984	MW	14.30.00.000000	15.50.00.000000
8958	MW	14.30.00.000000	16.00.00.000000
8912	MW	16.00.00.000000	17.20.00.000000
8984	MW	14.30.00.000000	15.50.00.000000
8531	MW	16.00.00.000000	17.20.00.000000
33668	MW	10.00.00.000000	11.20.00.000000
34284	MW	16.00.00.000000	17.20.00.000000
33064	MW	16.30.00.000000	17.50.00.000000
9226	MW	14.30.00.000000	15.50.00.000000
15421	MW	16.00.00.000000	17.20.00.000000
33640	MW	16.00.00.000000	17.20.00.000000
33641	MW	14.30.00.000000	15.50.00.000000
16431	MW	12.30.00.000000	13.50.00.000000
8435	MW	16.00.00.000000	17.20.00.000000
33523	MW	14.30.00.000000	15.50.00.000000
33813	MW	12.30.00.000000	13.20.00.000000
16333	MW	16.00.00.000000	17.20.00.000000
8642	MW	14.30.00.000000	15.50.00.000000
34208	MW	12.30.00.000000	13.50.00.000000
16432	MW	12.30.00.000000	13.50.00.000000
33954	MW	10.00.00.000000	11.20.00.000000
9091	MW	15.30.00.000000	16.50.00.000000
16054	MW	17.30.00.000000	18.50.00.000000
15352	MW	17.00.00.000000	18.20.00.000000
16279	MW	14.30.00.000000	15.50.00.000000
8574	MW	09.30.00.000000	10.20.00.000000
9143	MW	14.00.00.000000	15.20.00.000000
8889	MW	08.30.00.000000	09.50.00.000000
9213	MW	14.30.00.000000	15.50.00.000000
9078	MW	17.30.00.000000	18.50.00.000000
9218	MW	19.00.00.000000	20.20.00.000000
8573	MW	14.30.00.000000	15.50.00.000000
8687	MW	16.00.00.000000	17.20.00.000000
9138	MW	14.30.00.000000	15.50.00.000000
9234	MW	17.30.00.000000	18.50.00.000000
8569	MW	10.00.00.000000	11.20.00.000000
9192	MW	11.30.00.000000	12.50.00.000000
9278	MW	17.30.00.000000	18.50.00.000000
8568	MW	12.30.00.000000	13.50.00.000000
8570	MW	09.20.00.000000	10.40.00.000000
34053	MW	16.00.00.000000	17.20.00.000000
9272	MW	12.30.00.000000	13.20.00.000000
8640	MW	14.30.00.000000	15.50.00.000000
16380	MW	19.00.00.000000	20.20.00.000000
9217	MW	17.30.00.000000	18.50.00.000000
8853	MW	16.00.00.000000	17.20.00.000000
9137	MW	16.00.00.000000	17.20.00.000000
33675	MW	13.30.00.000000	14.20.00.000000
33676	MW	14.30.00.000000	15.50.00.000000
8119	MW	16.00.00.000000	17.20.00.000000
8446	MW	13.00.00.000000	14.20.00.000000
34273	MW	14.30.00.000000	15.50.00.000000
8869	MW	14.30.00.000000	15.50.00.000000
16448	MW	12.30.00.000000	13.50.00.000000
33638	MW	16.00.00.000000	17.20.00.000000
16516	MW	14.00.00.000000	15.20.00.000000
8506	MWF	13.30.00.000000	14.20.00.000000
16133	MWF	10.30.00.000000	11.20.00.000000
8859	MWF	10.30.00.000000	11.20.00.000000
33738	MWF	12.30.00.000000	13.20.00.000000
8871	MWF	08.30.00.000000	09.20.00.000000
9231	MWF	10.30.00.000000	11.20.00.000000
15424	MWF	09.30.00.000000	10.20.00.000000
8132	MWF	08.30.00.000000	09.20.00.000000
8532	MWF	12.30.00.000000	13.20.00.000000
9224	MWF	08.30.00.000000	09.20.00.000000
34054	MWF	13.30.00.000000	14.20.00.000000
15423	MWF	11.30.00.000000	12.20.00.000000
15875	MWF	09.30.00.000000	10.20.00.000000
9249	MWF	13.30.00.000000	14.20.00.000000
16278	MWF	13.30.00.000000	14.20.00.000000
9077	MWF	08.30.00.000000	09.20.00.000000
15876	MWF	09.30.00.000000	10.20.00.000000
8740	MWF	08.30.00.000000	09.20.00.000000
8430	MWF	09.30.00.000000	10.20.00.000000
8511	MWF	10.30.00.000000	11.20.00.000000
15877	MWF	09.30.00.000000	10.20.00.000000
33381	MWF	10.30.00.000000	11.20.00.000000
9279	MWF	08.30.00.000000	09.20.00.000000
33384	MWF	10.30.00.000000	11.20.00.000000
9092	MWF	13.30.00.000000	14.20.00.000000
34207	MWF	10.30.00.000000	11.20.00.000000
15879	MWF	09.30.00.000000	10.20.00.000000
8795	T	14.30.00.000000	17.20.00.000000
9817	T	18.00.00.000000	20.50.00.000000
8945	T	16.00.00.000000	17.20.00.000000
